Movement.Type,SCTG,Mode.Domestic,Tons,Value
I,1,Truck,52077805.6,82546508500
I,2,Truck,487840437.7,107861706900
I,3,Truck,218320036.2,122219394700
I,4,Truck,158945894.2,45984090300
I,5,Truck,25563139.3,87632625200
I,6,Truck,35858598.1,46510903100
I,7,Truck,264181255.5,225501540400
I,8,Truck,54346024.9,109944257300
I,9,Truck,1924993,39710674500
I,10,Truck,25227570.5,3001440900
I,11,Truck,423953507.7,4315070600
I,12,Truck,1424736841.6,13853426700
I,12,Rail,34805999.2,281572000
I,12,Multiple,8246744.9,71627200
I,13,Truck,80790013.4,3791418300
I,14,Truck,4145506.3,3301575100
I,15,Truck,166643895.4,8361187600
I,17,Truck,447115231.8,415961541700
I,18,Truck,344695406.1,315956187900
I,19,Truck,224528809.1,125146333900
I,19,Rail,13611995.6,4330316900
I,20,Truck,76359966.3,54555940500
I,20,Multiple,908034.2,1912714200
I,21,Truck,4307796.5,114096061100
I,21,Multiple,521455.6,74360355300
I,22,Truck,69516300.9,34501865500
I,23,Truck,27481996.6,75096845800
I,23,Multiple,295197,5190912100
I,24,Truck,39069159.7,119428712900
I,24,Multiple,1140483.8,7147124400
I,25,Truck,275129859.7,8902186000
I,26,Truck,186714474,70330748000
I,26,Rail,1417122.3,313342700
I,26,Multiple,1703338.8,315288500
I,27,Truck,22956825.7,27802544900
I,27,Rail,1413747.2,971281800
I,28,Truck,27168142.3,41063062300
I,28,Rail,79639.8,46251400
I,28,Multiple,56924.5,924759400
I,29,Truck,14713592.9,43505859600
I,29,Multiple,242375.6,4680966400
I,30,Truck,12284625.3,81620516900
I,30,Multiple,192117.8,8407266600
I,31,Truck,661206676.2,88306406200
I,31,Rail,7902855.9,576237200
I,31,Multiple,1451178.2,777304400
I,32,Truck,75592101.7,107878124700
I,32,Multiple,554836.6,1587720000
I,33,Truck,35794657.6,98241849900
I,33,Rail,874659.5,1167235000
I,33,Multiple,220041.4,7339117400
I,34,Truck,40815834.7,215353044700
I,34,Multiple,346590.6,19808865300
I,35,Truck,18895076.4,218627236000
I,35,Multiple,380926.9,35579524600
I,36,Truck,34227027.2,256007982100
I,36,Rail,66414.8,543780200
I,36,Multiple,524206,15468307900
I,37,Truck,1251624.7,88741020200
I,38,Truck,1439349,33517462200
I,38,Multiple,1059048.7,11657505500
I,39,Truck,32376425.8,153076837000
I,39,Multiple,32232.9,655383200
I,40,Truck,31861011,83312088700
I,40,Multiple,265455.7,12649792100
I,41,Truck,417571894.5,19994307500
I,41,Rail,6136318.4,1482286500
I,41,Multiple,1487724.3,516823100
I,43,Truck,145032735.9,458324614300
I,43,Multiple,810869.7,16617464400
X,3,Truck,169866723.5,123818426600
X,5,Truck,58439151.4,198618057800
X,7,Truck,295311318.2,333129065600
X,19,Truck,123752094.7,143684158200
X,19,Pipeline,1552809647.8,384553751500
X,20,Truck,99032209.9,111844760200
X,20,Rail,73559951,47973228000
X,21,Truck,9810038.1,317382672400
X,21,Multiple,1408709.1,248362163800
X,23,Truck,64805686.3,199293831700
X,24,Truck,81450291.6,275243716500
X,25,Truck,10094069.4,1743581700
X,26,Truck,136868846.8,78072135900
X,28,Truck,43285952.7,72958570300
X,29,Truck,20268633.7,65431121200
X,29,Multiple,2361089.2,42833359300
X,30,Truck,24487554,250177085700
X,30,Multiple,3046939.2,105061315500
X,31,Truck,204473506.1,87599486000
X,32,Truck,169699668.5,270972164800
X,33,Truck,63845090.2,183510894700
X,33,Multiple,4154170.8,39863513400
X,34,Truck,38591384.9,367184305800
X,34,Multiple,2550140.2,86352011000
X,35,Truck,27823120.9,382253210600
X,35,Multiple,3423113.6,259604671600
X,36,Truck,73979737.4,492860725700
X,36,Multiple,8606368.4,123591914000
X,38,Multiple,1565661.2,130316514500
X,39,Truck,23928675.3,118128337200
X,39,Multiple,898633.9,10073199100
X,40,Truck,49463636.4,242012774400
X,41,Truck,108091601.3,36357071600
X,43,Truck,228985550.4,847169442500
X,43,Multiple,4666242.3,62193394000
X,1,Truck,46538993.8,79277273900
X,2,Truck,188413959.7,43447722900
X,3,Multiple,14188687.5,11635603100
X,4,Truck,103259297.4,58091151500
X,6,Truck,57056851,93634684800
X,8,Truck,34800757.8,56865468300
X,9,Truck,990365.9,26132119500
X,9,Multiple,53542.1,1668717000
X,11,Truck,88603096.8,2102680100
X,12,Truck,157129744.3,2533988000
X,13,Truck,34236435.3,6111334800
X,15,Truck,36977134.2,2242539400
X,15,Rail,573315113.1,17532654000
X,17,Truck,111569644.1,102470722200
X,18,Truck,81685773.5,71545812600
X,22,Truck,45682888.7,23178143200
X,23,Multiple,3483194.3,30750992500
X,24,Multiple,9167900.9,42679687000
X,26,Multiple,9275373.5,4518200900
X,27,Truck,58668924.3,63961335800
X,27,Rail,17011770.5,11531179800
X,27,Multiple,6113051.5,5340493700
X,28,Multiple,1325988.3,6913088100
X,31,Multiple,14371372.3,9947830200
X,32,Rail,27983913.4,23492086300
X,32,Multiple,12738333.9,18925741700
X,37,Truck,2993445.3,54084242400
X,37,Multiple,486906,38142515300
X,38,Truck,3307799.6,91970629000
X,40,Multiple,4226424.8,160838636200
X,41,Multiple,7512562,3072000600
X,20,Air,78761.3,847702600
X,24,Air,50800.3,1018082900
X,7,Multiple,14893530.1,17930674800
X,33,Air,42893,1242842300
X,21,Air,61220.1,18859376500
X,24,Rail,31844451.3,41138888000
X,30,Air,84437.3,3082177400
X,35,Air,256802.5,33910815000
X,6,Multiple,3747416.1,3170595200
X,38,Air,151251,21671440000
X,8,Multiple,4475414.1,5219246400
X,19,Rail,27123581.2,20287930700
X,4,Multiple,6001296.4,4531124000
X,40,Air,114910.5,9467578600
X,13,Rail,16665385.4,1090212300
X,14,Truck,3905693.4,8413344500
X,41,Rail,18507221,6621340900
X,19,Multiple,3092744.3,1908647400
X,20,Multiple,1158057.7,10790560100
X,31,Rail,23086521.4,2420511300
X,3,Rail,16975474.5,8917125900
X,11,Rail,14494080.9,1053071300
X,36,Air,212846.3,6394020300
X,7,Rail,39490405.2,23472390400
X,17,Rail,15176177.7,10316231800
X,17,Multiple,8683223.3,6249313800
X,22,Rail,28555796.1,12940980200
X,25,Multiple,24162.8,34057100
X,36,Rail,2161512.3,20965357600
X,4,Rail,15729070,5351525300
X,34,Air,89517.9,6578463700
X,5,Multiple,257364.9,1284535500
X,2,Rail,123381466.4,32121195800
X,37,Air,79441.5,22768423000
X,23,Air,28651.1,856268000
X,29,Air,61408.3,923258900
X,14,Rail,30814188.8,2598529700
X,26,Rail,12797325.7,4605022500
X,1,Multiple,7284.6,83873100
X,28,Rail,2906160.3,1875322000
X,23,Rail,5190595.9,7493984500
X,32,Air,24185.3,421442600
X,13,Multiple,3991232,1051961200
X,28,Air,2788.9,38427800
I,16,Truck,7379289.5,4514404200
I,16,Water,4545970.4,2957136900
I,16,Pipeline,85744851.6,55026856800
I,18,Pipeline,174812783.8,133298614200
I,19,Multiple,1946523,1104779600
I,20,Rail,9816957.6,5668195400
I,20,Pipeline,20150109.9,16579718900
I,37,Multiple,26289.8,4240570200
X,16,Truck,12083482.1,7363389700
X,16,Water,45925704.3,29898859500
X,16,Pipeline,210457469.3,130307246900
X,41,Water,3111690.8,1347579300
X,17,Water,28648335,26620237000
X,6,Rail,11290117.2,4853228800
X,12,Multiple,25154058.9,288361700
X,19,Water,31944053.8,23225071300
X,22,Multiple,4439286.9,2141021400
X,11,Multiple,5126884.9,285579300
X,10,Truck,4251483.1,1906806400
X,20,Water,27433800.5,23522848500
X,12,Rail,36695394.3,707329600
X,16,Rail,21352050.1,12435517100
I,3,Rail,3009764.5,1393764100
I,3,Multiple,3099402.6,1710707900
I,7,Rail,2413297.2,1514372000
I,7,Multiple,2763633.3,2316703900
I,9,Multiple,2064.8,62076600
I,15,Rail,80788030,3093324600
I,19,Pipeline,225692992.3,69370289100
I,23,Rail,482406.3,1003933500
I,24,Rail,10908770.8,14735965700
I,27,Multiple,220228.3,431656100
I,32,Rail,6297308.5,6219855100
X,37,Rail,1621846.3,3039165600
X,1,Air,29795,189951600
X,5,Air,38661.2,434088200
X,40,Rail,537319.4,673490700
X,36,Water,6824.6,46990500
X,37,Water,312833.5,704269000
X,39,Air,15312.9,151790100
X,2,Water,18083468,5022921100
X,8,Rail,5565912.8,4576067900
X,15,Water,40426201.1,1936029000
X,13,Water,7955891,148200400
X,32,Water,3512067.6,1761447700
X,14,Multiple,14360361.8,1276470000
X,27,Air,2990.5,63826700
X,31,Air,8939.7,276740100
X,30,Rail,213290.2,796707000
X,33,Rail,3428156,3793887200
X,25,Rail,498265.3,223452000
X,8,Air,954.3,3266800
I,3,Water,1235127.8,602139100
I,4,Water,2326.6,100
I,5,Water,24281,71952000
I,5,Air,2390.5,17275000
I,5,Multiple,71720.5,233784400
I,6,Air,1930.7,8e+06
I,6,Multiple,96476.2,88582300
I,7,Water,86388,81367700
I,7,Air,4435.1,12140000
I,8,Water,116.6,100
I,8,Multiple,95063.2,231572600
I,13,Rail,677947.6,109192300
I,13,Multiple,250461.8,112054800
I,17,Rail,5654807,4512361500
I,17,Water,27368099,26501058500
I,17,Pipeline,248976493.9,228524480200
I,18,Rail,4348687.8,3233492500
I,18,Water,97123588,64197039000
I,18,Air,32001,59836000
I,21,Air,64.1,1.04e+08
I,22,Multiple,2224962.7,999951100
I,24,Water,175.5,5209700
I,32,Air,276.3,306600
I,33,Water,0.2,10998000
I,34,Water,283.1,10338000
I,35,Air,972.6,50799000
I,36,Water,0.6,2001000
I,36,Air,650.4,26633000
I,39,Air,202.8,1992400
I,43,Water,12602.9,13220000
X,6,Air,1417,9628800
X,4,Air,273261,136580300
X,26,Air,8982,58251900
X,7,Air,12758.6,81131300
X,3,Air,19960.2,130021500
X,5,Water,85089.2,430672500
X,7,Water,788989.1,610176700
X,22,Water,7332804.1,2898728100
X,28,Water,22709.6,56233300
X,39,Water,1275.6,3888300
X,3,Water,12154285.1,5917957500
X,23,Water,29674.6,70164700
X,24,Water,17836.4,60825900
X,26,Water,21624.1,30820600
X,27,Water,94340.5,74348700
X,29,Water,528.3,3750000
X,30,Water,2141.3,87942400
X,31,Water,6349783.8,621635300
X,33,Water,48146.6,65707100
X,34,Water,9474.8,71176700
X,35,Water,2410.3,88955600
X,40,Water,2230.8,12545800
X,43,Water,345868.4,1570913700
X,8,Water,17405.9,38280300
I,11,Rail,3210733.6,70840700
X,39,Rail,73268.6,204990100
X,14,Air,940.6,1796846100
X,18,Rail,2897113.2,2332009000
X,2,Multiple,12540432.2,3432704900
X,43,Rail,893296.9,1803045000
X,34,Rail,464181.3,1895860400
X,18,Multiple,5126110,3522540600
X,29,Rail,70709.4,126269900
I,2,Rail,38689107.1,9427642000
I,2,Water,1893521,531053300
I,5,Rail,305504.7,483673600
I,37,Rail,139711,397907200
I,41,Water,596757.9,180975900
X,10,Multiple,465211.2,15909500
X,22,Pipeline,1561618.8,790386200
X,35,Rail,96281.3,609467500
I,1,Multiple,204,3781200
I,11,Multiple,725172.2,7648100
I,14,Multiple,1390.6,120525000
I,30,Rail,814,303500
I,40,Rail,68847,338689100
X,17,Pipeline,89805283.2,81705914000
X,41,Air,245.7,116284700
X,21,Rail,36145.3,138582000
X,20,Pipeline,4480492.1,2770180000
X,18,Pipeline,53698275,46117382800
I,37,Water,817306.7,11959990500
I,22,Rail,22042134.3,2165575600
I,39,Rail,403.2,2452300
X,10,Rail,834741,14833400
X,5,Rail,103648.6,247852800
X,18,Water,19691469,15338641300
I,4,Multiple,174181.7,169281400
X,17,Air,46.8,269400
I,12,Water,10782144.9,75365500
X,15,Multiple,32567626.7,1766142900
X,11,Water,1363058.1,20147400
I,18,Multiple,2654610,1803866100
I,31,Water,750649.5,63544700
X,38,Rail,1485.2,29339000
I,6,Rail,2982799.8,750146800
I,34,Rail,25063.2,166655000
I,23,Pipeline,183202,64631700
X,99,Rail,832302.2,212370000
X,6,Water,1047829.1,334934300
X,4,Water,630003.2,196033000
X,25,Water,15002,15162000
X,12,Water,37613463.9,264589200
X,21,Water,1796.8,9842500
I,4,Rail,1460944.7,529604700
I,25,Rail,34605.9,10012700
I,19,Water,18826337.3,9970375700
I,14,Rail,16153678.2,1895616400
I,8,Rail,104543.9,74825800
X,14,Water,6437382,628040000
I,15,Multiple,11487765.7,593851000
I,35,Rail,13212.5,3760700
I,99,Truck,434957,144898000
I,12,Pipeline,418607,42076900
I,15,Water,17667464.9,919184000
I,20,Water,15707507,8262804500
I,22,Water,1468921,265832000
I,29,Rail,15026,47962000
I,16,Rail,524503.4,335128400
I,13,Water,1072127,7834500
I,17,Multiple,739385.8,623405100
I,10,Multiple,642.1,276200
X,99,Truck,10362.3,901900
I,11,Water,489512,115700
I,21,Rail,294.3,710600
I,15,Other,36840671.8,1025910000
X,13,Pipeline,2509958,179124000
I,2,Multiple,60590.1,20180800
I,43,Rail,120836,190972300
I,22,Pipeline,434117,260550000
I,25,Multiple,377.6,708700
