CATEGORY,CHID,CHDESC,VAR,TYPE,COEFF
J,1,Direct,asc1,Constant,-0.240861437822105
J,2,One,asc2,Constant,-1.2454654619241
J,2,One,empge200,Variable,0.698
J,2,One,whind,Variable,1.88
J,3,Two,asc3,Constant,-2.74559683262872
J,3,Two,whind,Variable,1.5
J,4,Three,asc4,Constant,-3.64559683262872
J,4,Three,whind,Variable,1.5
J,4,Three,emp50t199,Variable,1.32
B,1,Direct,asc1,Constant,-0.38614286550176
B,2,One,asc2,Constant,-1.38927114632256
B,2,One,empge200,Variable,0.698
B,2,One,whind,Variable,1.88
B,3,Two,asc3,Constant,-2.18218476839003
B,3,Two,whind,Variable,1.5
B,4,Three,asc4,Constant,-3.08218476839003
B,4,Three,whind,Variable,1.5
B,4,Three,emp50t199,Variable,1.32
C,1,Direct,asc1,Constant,-0.608557608079916
C,2,One,asc2,Constant,-5.41325423661049
C,2,One,empge200,Variable,0.698
C,2,One,whind,Variable,1.88
C,3,Two,asc3,Constant,-1.08314722969255
C,3,Two,whind,Variable,1.5
C,4,Three,asc4,Constant,-1.98314722969255
C,4,Three,whind,Variable,1.5
C,4,Three,emp50t199,Variable,1.32
F,1,Direct,asc1,Constant,-0.113600884187663
F,2,One,asc2,Constant,-1.39135918342107
F,2,One,empge200,Variable,0.698
F,2,One,whind,Variable,1.88
F,3,Two,asc3,Constant,-3.09891487716233
F,3,Two,whind,Variable,1.5
F,4,Three,asc4,Constant,-3.99891487716233
F,4,Three,whind,Variable,1.5
F,4,Three,emp50t199,Variable,1.32
G,1,Direct,asc1,Constant,-0.407909310202132
G,2,One,asc2,Constant,-1.17927677414608
G,2,One,empge200,Variable,0.698
G,2,One,whind,Variable,1.88
G,3,Two,asc3,Constant,-2.40737226146368
G,3,Two,whind,Variable,1.5
G,4,Three,asc4,Constant,-3.30737226146368
G,4,Three,whind,Variable,1.5
G,4,Three,emp50t199,Variable,1.32
H,1,Direct,asc1,Constant,-1.30223369015082
H,2,One,asc2,Constant,-0.397660401654493
H,2,One,empge200,Variable,0.698
H,2,One,whind,Variable,1.88
H,3,Two,asc3,Constant,-3.68029786403734
H,3,Two,whind,Variable,1.5
H,4,Three,asc4,Constant,-4.58029786403735
H,4,Three,whind,Variable,1.5
H,4,Three,emp50t199,Variable,1.32
I,1,Direct,asc1,Constant,0.181593090122691
I,2,One,asc2,Constant,-2.63791283433432
I,2,One,empge200,Variable,0.698
I,2,One,whind,Variable,1.88
I,3,Two,asc3,Constant,-2.6133902684119
I,3,Two,whind,Variable,1.5
I,4,Three,asc4,Constant,-3.5133902684119
I,4,Three,whind,Variable,1.5
I,4,Three,emp50t199,Variable,1.32
D,1,Direct,asc1,Constant,-0.5949723782494
D,2,One,asc2,Constant,-1.38033291276137
D,2,One,empge200,Variable,0.698
D,2,One,whind,Variable,1.88
D,3,Two,asc3,Constant,-1.66477935313742
D,3,Two,whind,Variable,1.5
D,4,Three,asc4,Constant,-2.56477935313742
D,4,Three,whind,Variable,1.5
D,4,Three,emp50t199,Variable,1.32
